Id:,26139
Estación:,HERMOSILLO II (DGE)-SON
Posición:,29.0988888889N -110.965833333W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1973
Fecha Final:,10/01/1995
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1973,2.3
01,02,1973,0.6
01,03,1973,3.0
01,04,1973,2.2
01,05,1973,2.2
01,06,1973,2.6
01,07,1973,2.0
01,08,1973,2.9
01,09,1973,3.8
01,10,1973,1.5
01,11,1973,3.0
01,12,1973,4.3
01,13,1973,3.1
01,14,1973,3.1
01,15,1973,2.8
01,16,1973,4.7
01,17,1973,3.3
01,18,1973,4.7
01,19,1973,4.9
01,20,1973,4.9
01,21,1973,2.8
01,22,1973,4.5
01,23,1973,4.9
01,24,1973,4.8
01,25,1973,5.7
01,26,1973,3.5
01,27,1973,7.6
01,28,1973,10.7
01,29,1973,4.7
01,30,1973,2.2
01,31,1973,4.4
02,01,1973,5.2
02,02,1973,6.0
02,03,1973,6.2
02,04,1973,5.9
02,05,1973,5.2
02,06,1973,3.5
02,07,1973,1.7
02,08,1973,2.5
02,09,1973,2.5
02,10,1973,4.1
02,11,1973,1.0
02,12,1973,3.1
02,13,1973,4.6
02,14,1973,4.1
02,15,1973,3.8
02,16,1973,3.8
02,17,1973,4.0
02,18,1973,5.9
02,19,1973,3.7
02,20,1973,1.6
02,21,1973,2.3
02,22,1973,5.6
02,23,1973,3.4
02,24,1973,3.9
02,25,1973,3.3
02,26,1973,3.7
02,27,1973,5.1
02,28,1973,5.3
03,01,1973,5.6
03,02,1973,5.2
03,03,1973,6.5
03,04,1973,5.4
03,05,1973,6.6
03,06,1973,3.5
03,07,1973,5.8
03,08,1973,7.0
03,09,1973,5.2
03,10,1973,4.1
03,11,1973,6.0
03,12,1973,1.6
03,13,1973,4.1
03,14,1973,3.6
03,15,1973,3.8
03,16,1973,6.8
03,17,1973,6.5
03,18,1973,4.5
03,19,1973,5.8
03,20,1973,4.5
03,21,1973,4.7
03,22,1973,7.2
03,23,1973,6.1
03,24,1973,4.1
03,25,1973,6.3
03,26,1973,6.0
03,27,1973,5.0
03,28,1973,6.5
03,29,1973,5.3
03,30,1973,6.3
03,31,1973,6.9
04,01,1973,6.5
04,02,1973,6.7
04,03,1973,7.6
04,04,1973,5.9
04,05,1973,7.1
04,06,1973,8.9
04,07,1973,7.8
04,08,1973,7.5
04,09,1973,6.8
04,10,1973,9.3
04,11,1973,8.0
04,12,1973,8.7
04,13,1973,9.2
04,14,1973,8.6
04,15,1973,7.3
04,16,1973,7.9
04,17,1973,8.1
04,18,1973,8.3
04,19,1973,8.6
04,20,1973,8.3
04,21,1973,8.1
04,22,1973,8.9
04,23,1973,8.4
04,24,1973,7.8
04,25,1973,9.2
04,26,1973,9.9
04,27,1973,10.8
04,28,1973,11.8
04,29,1973,7.0
04,30,1973,4.3
05,01,1973,8.8
05,02,1973,9.3
05,03,1973,10.6
05,04,1973,1.2
05,05,1973,11.4
05,06,1973,6.1
05,07,1973,6.2
05,08,1973,9.9
05,09,1973,11.5
05,10,1973,6.3
05,11,1973,15.8
05,12,1973,8.4
05,13,1973,11.0
05,14,1973,11.5
05,15,1973,9.3
05,16,1973,13.7
05,17,1973,10.1
05,18,1973,11.6
05,19,1973,12.4
05,20,1973,12.3
05,21,1973,11.1
05,22,1973,11.2
05,23,1973,10.7
05,24,1973,10.6
05,25,1973,10.5
05,26,1973,10.3
05,27,1973,11.6
05,28,1973,10.0
05,29,1973,7.2
05,30,1973,11.5
05,31,1973,10.4
06,01,1973,9.2
06,02,1973,10.2
06,03,1973,10.0
06,04,1973,10.6
06,05,1973,9.4
06,06,1973,13.9
06,07,1973,12.4
06,08,1973,12.4
06,09,1973,14.7
06,10,1973,10.6
06,11,1973,9.6
06,12,1973,10.6
06,13,1973,12.1
06,14,1973,11.2
06,15,1973,11.2
06,16,1973,8.4
06,17,1973,12.2
06,18,1973,11.9
06,19,1973,13.2
06,20,1973,14.0
06,21,1973,14.2
06,22,1973,11.4
06,23,1973,11.5
06,24,1973,11.6
06,25,1973,12.6
06,26,1973,9.8
06,27,1973,13.2
06,28,1973,13.0
06,29,1973,11.9
06,30,1973,9.7
07,01,1973,12.1
07,02,1973,11.1
07,03,1973,9.5
07,04,1973,13.0
07,05,1973,11.8
07,06,1973,11.7
07,07,1973,12.1
07,08,1973,10.6
07,09,1973,10.7
07,10,1973,7.7
07,11,1973,12.6
07,12,1973,4.4
07,13,1973,9.1
07,14,1973,12.5
07,15,1973,10.0
07,16,1973,11.8
07,17,1973,17.7
07,18,1973,10.8
07,19,1973,13.8
07,20,1973,16.1
07,21,1973,9.2
07,22,1973,13.7
07,23,1973,10.7
07,24,1973,13.9
07,25,1973,10.6
07,26,1973,8.0
07,27,1973,10.3
07,28,1973,13.2
07,29,1973,8.8
07,30,1973,7.5
07,31,1973,9.0
08,01,1973,10.4
08,02,1973,8.9
08,03,1973,6.6
08,04,1973,7.2
08,05,1973,8.5
08,06,1973,10.4
08,07,1973,6.5
08,08,1973,5.8
08,09,1973,5.2
08,10,1973,6.2
08,11,1973,10.7
08,12,1973,6.1
08,13,1973,7.7
08,14,1973,6.7
08,15,1973,8.1
08,16,1973,11.5
08,17,1973,9.1
08,18,1973,9.7
08,19,1973,7.9
08,20,1973,10.1
08,21,1973,10.8
08,22,1973,10.4
08,23,1973,10.3
08,24,1973,10.7
08,25,1973,10.6
08,26,1973,9.4
08,27,1973,8.7
08,28,1973,11.2
08,29,1973,10.8
08,30,1973,8.1
08,31,1973,5.4
09,01,1973,5.4
09,02,1973,9.5
09,03,1973,9.4
09,04,1973,10.3
09,05,1973,12.4
09,06,1973,11.8
09,07,1973,12.6
09,08,1973,9.5
09,09,1973,8.9
09,10,1973,9.7
09,11,1973,9.2
09,12,1973,12.2
09,13,1973,5.1
09,14,1973,8.9
09,15,1973,9.3
09,16,1973,10.7
09,17,1973,7.5
09,18,1973,10.6
09,19,1973,7.3
09,20,1973,8.6
09,21,1973,6.3
09,22,1973,6.5
09,23,1973,8.2
09,24,1973,9.0
09,25,1973,6.2
09,26,1973,7.4
09,27,1973,7.9
09,28,1973,8.1
09,29,1973,7.7
09,30,1973,11.3
10,01,1973,5.0
10,02,1973,9.6
10,03,1973,10.3
10,04,1973,6.8
10,05,1973,7.3
10,06,1973,10.2
10,07,1973,10.3
10,08,1973,9.5
10,09,1973,4.6
10,10,1973,7.4
10,11,1973,6.6
10,12,1973,5.5
10,13,1973,9.0
10,14,1973,11.7
10,15,1973,10.6
10,16,1973,7.1
10,17,1973,8.0
10,18,1973,9.0
10,19,1973,8.0
10,20,1973,6.7
10,21,1973,5.6
10,22,1973,12.6
10,23,1973,7.5
10,24,1973,5.7
10,25,1973,5.3
10,26,1973,4.8
10,27,1973,5.1
10,28,1973,9.3
